Garlock (West)                              	 -118.087000 	 35.206000 	 223.000000 	 0.007600 	 0.005300 	 0.010700 	 -0.000000 	 -0.002300 	 0.003100 	 0.003791 	 0.002644 	 0.005337 	 -0.003535 	 -0.002465 	 -0.004977 	 0.004065 	 0.002835 	 0.005723 	 -0.003791 	 -0.002644 	 -0.005337 
Garlock (West)                              	 -118.398000 	 35.035000 	 237.000000 	 0.002450 	 0.001600 	 0.003300 	 -0.000000 	 -0.000850 	 0.000850 	 0.001119 	 0.000731 	 0.001507 	 -0.001723 	 -0.001125 	 -0.002321 	 0.000727 	 0.000475 	 0.000979 	 -0.001119 	 -0.000731 	 -0.001507 
Great Valley 06 (Midland) 2011 CFM alt1     	 -121.646000 	 38.061000 	 178.000000 	 0.000000 	 -0.000200 	 0.000200 	 -0.000273 	 -0.000473 	 -0.000073 	 -0.000272 	 0.000136 	 0.000409 	 -0.000010 	 0.000005 	 0.000014 	 -0.000010 	 0.000005 	 0.000014 	 -0.000000 	 0.000000 	 0.000000 
Great Valley 06 (Midland) 2011 CFM alt1     	 -121.646000 	 38.061000 	 178.000000 	 0.000000 	 -0.000400 	 0.000700 	 -0.000341 	 -0.000741 	 0.000359 	 -0.000341 	 0.000068 	 0.000817 	 -0.000012 	 0.000002 	 0.000029 	 -0.000012 	 0.000002 	 0.000029 	 -0.000000 	 0.000000 	 0.000001 
Hayward (No) 2011 CFM                       	 -122.251100 	 37.871600 	 335.000000 	 -0.010400 	 -0.012400 	 -0.008400 	 -0.000000 	 -0.002000 	 0.002000 	 0.003983 	 0.003217 	 0.004749 	 0.001858 	 0.001500 	 0.002215 	 -0.008542 	 -0.006900 	 -0.010185 	 -0.003983 	 -0.003217 	 -0.004749 
Hayward (So) 2011 CFM                       	 -122.004500 	 37.596100 	 322.000000 	 -0.009200 	 -0.010600 	 -0.007800 	 -0.000000 	 -0.001400 	 0.001400 	 0.004463 	 0.003784 	 0.005143 	 0.003487 	 0.002957 	 0.004018 	 -0.005713 	 -0.004843 	 -0.006582 	 -0.004463 	 -0.003784 	 -0.005143 
Hilton Creek 2011 CFM                       	 -118.764000 	 37.502000 	 4.000000 	 0.000000 	 -0.000350 	 0.000350 	 0.000289 	 -0.000061 	 0.000639 	 0.000288 	 -0.000064 	 -0.000512 	 -0.000020 	 0.000004 	 0.000036 	 -0.000020 	 0.000004 	 0.000036 	 0.000001 	 -0.000000 	 -0.000003 
Hilton Creek 2011 CFM                       	 -118.786000 	 37.563000 	 334.000000 	 0.000000 	 -0.000150 	 0.000150 	 0.000675 	 0.000525 	 0.000825 	 0.000545 	 -0.000467 	 -0.000623 	 0.000266 	 -0.000228 	 -0.000304 	 0.000266 	 -0.000228 	 -0.000304 	 0.000130 	 -0.000111 	 -0.000148 
Hilton Creek 2011 CFM                       	 -118.786000 	 37.563000 	 334.000000 	 0.000000 	 -0.000150 	 0.000150 	 0.000675 	 0.000525 	 0.000825 	 0.000545 	 -0.000467 	 -0.000623 	 0.000266 	 -0.000228 	 -0.000304 	 0.000266 	 -0.000228 	 -0.000304 	 0.000130 	 -0.000111 	 -0.000148 
Hilton Creek 2011 CFM                       	 -118.786000 	 37.563000 	 334.000000 	 0.000000 	 -0.000550 	 0.000550 	 0.000932 	 0.000382 	 0.001482 	 0.000753 	 -0.000467 	 -0.001039 	 0.000367 	 -0.000228 	 -0.000507 	 0.000367 	 -0.000228 	 -0.000507 	 0.000179 	 -0.000111 	 -0.000247 
